bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
198.25,197.75,ME,Mechanical Engineering,2006 . P.S.G. College Of Technology (Aut),197.25,198.50,194.75,195.00,
,,CS,Computer Science And Engineering,1444 . Chendu College Of Engineering And Technology,,85.00,,,
,,EC,Electronics And Comm. Engineering,1436 . A.R. Engineering College,,92.50,,,
108.50,,CS,Computer Science And Engineering,1225 . Loyola Institute Of Technology,96.25,139.75,,81.25,
,,ME,Mechanical Engineering,1209 . Pallavan College Of Engineering,,99.25,,,
167.00,161.00,ME,Mechanical Engineering,5009 . Government College Of Engineering- Bodiyanayakkanur,166.00,175.50,140.25,152.25,125.00
90.75,,ME,Mechanical Engineering,1325 . ST.Joseph College Of Engineering,89.50,99.75,,,
,,CS,Computer Science And Engineering,1513 . Sri Balaji Chockalingam Engineering College,,89.25,,,
,,CS,Computer Science And Engineering,2342 . Sri Ranganathar Institute Of Engineering & Technology,,100.25,,,
88.00,,ME,Mechanical Engineering,2634 . Excel Engineering College,78.75,139.50,,,
,,CS,Computer Science And Engineering,1528 . Krs College Of Engineering,,124.25,,,
,,EC,Electronics And Comm. Engineering,4946 . Dmi Engineering College,,130.50,,,
99.25,,ME,Mechanical Engineering,1212 . Rajiv Gandhi College Of Engineering,86.00,121.50,,,
,,CE,Civil Engineering,2713 . M.P. Nachimuthu M. Jaganathan Engineering College,,87.25,,,
171.25,164.50,ME,Mechanical Engineering,1237 . Velammal Institute Of Technology,166.25,173.75,,139.75,
,,EE,Electrical And Electronics Engineering,1126 . JNN  Institute Of Engineering,,123.50,,,
,,EE,Electrical And Electronics Engineering,2360 . Suguna College Of Engineering,,99.50,,,
,87.75,EC,Electronics And Comm. Engineering,4993 . Loyola Institute Of Technology And Science,,92.25,,,
,,CS,Computer Science And Engineering,5916 . Pannai College Of Engineering And Technology,,146.00,,,
97.50,,EE,Electrical And Electronics Engineering,2750 . KIR - Kalaignar Karunanidhi Institute Of Technology,,111.25,,,
,,XM,Mechanical Engineering (Tm),4024 . University Voc College Of Engineering- Thoothukudi,,101.75,,,
94.00,,ME,Mechanical Engineering,2354 . Pollachi Institute Of Engineering And Technology,85.25,97.25,,,
97.00,115.50,ME,Mechanical Engineering,2636 . A V S Engineering College,138.25,160.75,102.50,,
88.25,113.00,ME,Mechanical Engineering,4953 . Cape Institute Of Technology,89.00,117.50,,,
,,EE,Electrical And Electronics Engineering,1102 . Bhajarang Engineering College,,105.00,,,
,,CS,Computer Science And Engineering,5842 . Madurai Institute Of Engineering And Technology,,107.50,,,
161.50,162.75,CS,Computer Science And Engineering,4023 . University College Of Engineering- Nagercoil,123.50,171.50,,119.50,
,,ME,Mechanical Engineering,1123 . Gojan School Of Business And Technology,,85.00,,,
